GeneID	Symbol	description	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	OMIM
51473	DCDC2	doublecortin domain containing 2	6	NC_000006.12	24171755	24383292	605755
9258	MFHAS1	multifunctional ROCO family signaling regulator 1	8	NC_000008.11	8783354	8893630	605352
4122	MAN2A2	mannosidase alpha class 2A member 2	15	NC_000015.10	90902382	90922585	600988
55553	SOX6	SRY-box transcription factor 6	11	NC_000011.10	15966449	16738477	607257
1104	RCC1	regulator of chromosome condensation 1	1	NC_000001.11	28506043	28538989	179710
406966	MIR191	microRNA 191	3	NC_000003.12	49020618	49020709	615150
7434	VIPR2	vasoactive intestinal peptide receptor 2	7	NC_000007.14	159028175	159144867	601970
635	BHMT	betaine--homocysteine S-methyltransferase	5	NC_000005.10	79111809	79132288	602888
2672	GFI1	growth factor independent 1 transcriptional repressor	1	NC_000001.11	92473043	92486925	600871
28964	GIT1	GIT ArfGAP 1	17	NC_000017.11	29573475	29589648	608434
7093	TLL2	tolloid like 2	10	NC_000010.11	96364608	96513926	606743
80217	CFAP43	cilia and flagella associated protein 43	10	NC_000010.11	104129888	104232364	617558
4076	CAPRIN1	cell cycle associated protein 1	11	NC_000011.10	34051731	34102610	601178
114784	CSMD2	CUB and Sushi multiple domains 2	1	NC_000001.11	33513998	34165842	608398
10276	NET1	neuroepithelial cell transforming 1	10	NC_000010.11	5412557	5459056	606450
3384	ICAM2	intercellular adhesion molecule 2	17	NC_000017.11	64002595	64020633	146630
147	ADRA1B	adrenoceptor alpha 1B	5	NC_000005.10	159865086	159989205	104220
2897	GRIK1	glutamate ionotropic receptor kainate type subunit 1	21	NC_000021.9	29536933	29939996	138245
83696	TRAPPC9	trafficking protein particle complex subunit 9	8	NC_000008.11	139727725	140458579	611966
51559	NT5DC3	5'-nucleotidase domain containing 3	12	NC_000012.12	103746315	103841234	611076
2774	GNAL	G protein subunit alpha L	18	NC_000018.10	11689264	11885685	139312
54413	NLGN3	neuroligin 3	X	NC_000023.11	71144841	71175307	300336
8973	CHRNA6	cholinergic receptor nicotinic alpha 6 subunit	8	NC_000008.11	42752620	42768786	606888
1142	CHRNB3	cholinergic receptor nicotinic beta 3 subunit	8	NC_000008.11	42697366	42737407	118508
2044	EPHA5	EPH receptor A5	4	NC_000004.12	65319567	65670489	600004
158067	AK8	adenylate kinase 8	9	NC_000009.12	132725578	132879046	615365
23112	TNRC6B	trinucleotide repeat containing adaptor 6B	22	NC_000022.11	40044834	40335808	610740
200373	CFAP221	cilia and flagella associated protein 221	2	NC_000002.12	119544449	119660323	618704
11074	TRIM31	tripartite motif containing 31	6	NC_000006.12	30102897	30113090	609316
438	ASMT	acetylserotonin O-methyltransferase	X	NC_000023.11	1615059	1643081	3.00015E+11
438	ASMT	acetylserotonin O-methyltransferase	Y	NC_000024.10	1615059	1643081	3.00015E+11
344887	NMRAL2P	"NmrA like redox sensor 2, pseudogene"	3	NC_000003.12	185959943	185980877	
6487	ST3GAL3	"ST3 beta-galactoside alpha-2,3-sialyltransferase 3"	1	NC_000001.11	43707536	43931159	606494
5522	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma	4	NC_000004.12	6320581	6563799	605997
55327	LIN7C	"lin-7 homolog C, crumbs cell polarity complex component"	11	NC_000011.10	27494418	27506769	612332
8825	LIN7A	"lin-7 homolog A, crumbs cell polarity complex component"	12	NC_000012.12	80792520	80937934	603380
6527	SLC5A4	solute carrier family 5 member 4	22	NC_000022.11	32218464	32355063	618633
91782	CHMP7	charged multivesicular body protein 7	8	NC_000008.11	23243637	23261999	611130
22986	SORCS3	sortilin related VPS10 domain containing receptor 3	10	NC_000010.11	104641290	105265242	606285
6894	TARBP1	TAR (HIV-1) RNA binding protein 1	1	NC_000001.11	234391313	234479179	605052
79596	OBI1	ORC ubiquitin ligase 1	13	NC_000013.11	78614289	78659155	615906
10623	POLR3C	RNA polymerase III subunit C	1	NC_000001.11	145824200	145844402	617454
54769	DIRAS2	DIRAS family GTPase 2	9	NC_000009.12	90609832	90642824	607863
100507443	LOC100507443	uncharacterized LOC100507443	2	NC_000002.12	208119129	208156762	
64130	LIN7B	"lin-7 homolog B, crumbs cell polarity complex component"	19	NC_000019.10	49114370	49118460	612331
26260	FBXO25	F-box protein 25	8	NC_000008.11	406958	477967	609098
283659	PRTG	protogenin	15	NC_000015.10	55611544	55743152	613261
80059	LRRTM4	leucine rich repeat transmembrane neuronal 4	2	NC_000002.12	76747685	77522376	610870
79845	RNF122	ring finger protein 122	8	NC_000008.11	33547754	33567128	
389084	SNORC	secondary ossification center associated regulator of chondrocyte maturation	2	NC_000002.12	232866451	232878700	
729178	STXBP5-AS1	STXBP5 antisense RNA 1	6	NC_000006.12	146841388	147204614	
108228198	LOC108228198	LCR2q21.1 distal recombination region	2	NC_000002.12	131294430	131294695	
108228197	LOC108228197	LCR2q21.1 proximal recombination region	2	NC_000002.12	130687741	130688006
